S.No.		Word		AnnCorra		UD
724 		 मध्य 		 lwg_psp 		 case
725 		 में 		 lwg_psp 		 case
726 		 बना 		 root 		 root
727 		 है 		 lwg_vaux 		 aux
728 		 । 		 rsym 		 punct
729 		 start2 		 start2 		 start2
730 		 start1 		 start1 		 start1
731 		 यह 		 k1 		 nsubj
732 		 सात 		 nmod_adj 		 amod
733 		 आश्चर्यों 		 r6 		 nmod
734 		 की 		 lwg_psp 		 case
735 		 सूची 		 k7 		 nmod
736 		 में 		 lwg_psp 		 case
737 		 भी 		 lwg_rp 		 dep
738 		 आता 		 root 		 root
739 		 रहा 		 lwg_vaux 		 aux
740 		 है 		 lwg_vaux_cont 		 aux
741 		 । 		 rsym 		 punct
742 		 start2 		 start2 		 start2
743 		 start1 		 start1 		 start1
744 		 आजाद 		 nmod_adj 		 amod
745 		 हिन्द 		 pof_cn 		 compound
746 		 फौज 		 k7p 		 nmod
747 		 पर 		 lwg_psp 		 case
748 		 मुकद्मा 		 k2 		 case
749 		 यहीं 		 k7t 		 nmod
750 		 चलाया 		 root 		 root
751 		 गया 		 lwg_vaux 		 aux
752 		 था 		 lwg_vaux_cont 		 aux
753 		 । 		 rsym 		 punct
754 		 start2 		 start2 		 start2
755 		 start1 		 start1 		 start1
756 		 मुगल 		 pof_cn 		 compound
757 		 बादशाह 		 k1 		 nsubj
758 		 यहीं 		 k7 		 nmod
759 		 पर 		 lwg_psp 		 case
760 		 जनता 		 r6 		 nmod
761 		 की 		 lwg_psp 		 case
762 		 फरियाद 		 k2 		 case
763 		 सुनते 		 root 		 root
764 		 थे 		 lwg_vaux 		 aux
765 		 । 		 rsym 		 punct
766 		 start2 		 start2 		 start2
767 		 start1 		 start1 		 start1
768 		 इसका 		 r6 		 nmod
769 		 मूल-आधार 		 k1 		 nsubj
770 		 एक 		 nmod_adj 		 amod
771 		 विशाल 		 nmod_adj 		 amod
772 		 बहु-कक्षीय 		 mod 		 case
773 		 संरचना 		 k1s 		 dobj
774 		 है 		 root 		 root
775 		 । 		 rsym 		 punct
776 		 start2 		 start2 		 start2
777 		 start1 		 start1 		 start1
778 		 उसकी 		 r6 		 nmod
779 		 मृत्यु 		 k1 		 nsubj
780 		 भी 		 lwg_rp 		 dep
781 		 इसी 		 nmod_adj 		 amod
782 		 किले 		 k7p 		 nmod
783 		 में 		 lwg_psp 		 case
784 		 1517 		 k7p 		 nmod
785 		 में 		 lwg_psp 		 case
786 		 हुई 		 root 		 root
787 		 थी 		 lwg_vaux 		 aux
788 		 । 		 rsym 		 punct
789 		 start2 		 start2 		 start2
790 		 start1 		 start1 		 start1
791 		 फ़िल्म 		 r6 		 nmod
792 		 का 		 lwg_psp 		 case
793 		 संगीत 		 nmod 		 amod
794 		 ए 		 pof_cn 		 compound
795 		 आर 		 pof_cn 		 compound
796 		 रहमान 		 k1 		 nsubj
797 		 द्वारा 		 lwg_psp 		 case
798 		 रचा 		 root 		 root
799 		 गया 		 lwg_vaux 		 aux
800 		 है 		 lwg_vaux_cont 		 aux
801 		 । 		 rsym 		 punct
802 		 start2 		 start2 		 start2
803 		 start1 		 start1 		 start1
804 		 जहाँ 		 k7p 		 nmod
805 		 बादशाह 		 k1 		 nsubj
806 		 अपने 		 r6 		 nmod
807 		 मंत्रियों 		 ras-k1 		 nmod
808 		 से 		 lwg_psp 		 case
809 		 बातचीत 		 pof 		 compound
810 		 करते 		 root 		 root
811 		 थे 		 lwg_vaux 		 aux
812 		 । 		 rsym 		 punct
813 		 start2 		 start2 		 start2
814 		 start1 		 start1 		 start1
815 		 आस 		 k7p 		 nmod
816 		 पास 		 lwg_psp 		 case
817 		 सभी 		 nmod_adj 		 amod
818 		 जगह 		 k7p 		 nmod
819 		 सुन्दर 		 nmod_adj 		 amod
820 		 फूलों 		 r6 		 nmod
821 		 की 		 lwg_psp 		 case
822 		 क्यारियाँ 		 k1 		 nsubj
823 		 हैं 		 root 		 root
824 		 । 		 rsym 		 punct
825 		 start2 		 start2 		 start2
826 		 start1 		 start1 		 start1
827 		 इन 		 k7 		 nmod
828 		 पर 		 lwg_psp 		 case
829 		 वही 		 nmod_adj 		 amod
830 		 कमलाकार 		 k1 		 nsubj
831 		 आकृति 		 ccof 		 conj
832 		 एवं 		 k1s 		 dobj
833 		 किरीट 		 pof_cn 		 compound
834 		 कलश 		 ccof 		 conj
835 		 भी 		 lwg_rp 		 dep
836 		 हैं 		 root 		 root
837 		 । 		 rsym 		 punct
838 		 start2 		 start2 		 start2
839 		 start1 		 start1 		 start1
840 		 तब 		 k7t 		 nmod
841 		 इस 		 nmod_adj 		 amod
842 		 किले 		 k7p 		 nmod
843 		 में 		 lwg_psp 		 case
844 		 इब्राहिम 		 r6 		 nmod
845 		 के 		 lwg_psp 		 case
846 		 स्थान 		 k7 		 nmod
847 		 पर 		 lwg_psp 		 case
848 		 बाबर 		 k1 		 nsubj
849 		 आया 		 root 		 root
850 		 । 		 rsym 		 punct
851 		 start2 		 start2 		 start2
852 		 start1 		 start1 		 start1
853 		 रास्ते 		 k7p 		 nmod
854 		 में 		 lwg_psp 		 case
855 		 , 		 rsym 		 punct
856 		 माही 		 k4a 		 nsubj
857 		 को 		 lwg_psp 		 case
858 		 राज 		 k5 		 nmod
859 		 से 		 lwg_psp 		 case
860 		 प्यार 		 pof 		 compound
861 		 हो 		 root 		 root
862 		 जाता 		 lwg_vaux 		 aux
863 		 है 		 lwg_vaux_cont 		 aux
864 		 । 		 rsym 		 punct
865 		 start2 		 start2 		 start2
866 		 start1 		 start1 		 start1
867 		 लाल 		 pof_cn 		 compound
868 		 किला 		 k1 		 nsubj
869 		 हमारे 		 r6 		 nmod
870 		 इतिहास 		 ccof 		 conj
871 		 और 		 k7 		 nmod
872 		 स्मृतियों 		 ccof 		 conj
873 		 से 		 lwg_psp 		 case
874 		 जुड़ा 		 root 		 root
875 		 है 		 lwg_vaux 		 aux
876 		 । 		 rsym 		 punct
877 		 start2 		 start2 		 start2
878 		 start1 		 start1 		 start1
879 		 इसका 		 r6-k2 		 nmod
880 		 निर्माण 		 pof 		 compound
881 		 मुगल 		 pof_cn 		 compound
882 		 सम्राट, 		 nmod_adj 		 amod
883 		 शाहजहां 		 k1 		 nsubj
884 		 ने 		 lwg_psp 		 case
885 		 कराया 		 root 		 root
886 		 था 		 lwg_vaux 		 aux
887 		 । 		 rsym 		 punct
888 		 start2 		 start2 		 start2
889 		 start1 		 start1 		 start1
890 		 इस 		 r6 		 nmod
891 		 का 		 lwg_psp 		 case
892 		 निर्माण 		 pof 		 compound
893 		 शाहजहाँ 		 k1 		 nsubj
894 		 ने 		 lwg_psp 		 case
895 		 सन् 		 pof_cn 		 compound
896 		 1648 		 k7t 		 nmod
897 		 में 		 lwg_psp 		 case
898 		 कराया 		 root 		 root
899 		 था 		 lwg_vaux 		 aux
900 		 । 		 rsym 		 punct
901 		 start2 		 start2 		 start2
902 		 start1 		 start1 		 start1
903 		 शाहजहाँ 		 r6 		 nmod
904 		 की 		 lwg_psp 		 case
905 		 कब्र 		 nmod 		 amod
906 		 मुमताज 		 r6 		 nmod
907 		 की 		 lwg_psp 		 case
908 		 कब्र 		 r6 		 nmod
909 		 के 		 lwg_psp 		 case
910 		 दक्षिण 		 k7p 		 nmod
911 		 ओर 		 lwg_psp 		 case
912 		 है 		 root 		 root
913 		 । 		 rsym 		 punct
914 		 start2 		 start2 		 start2
915 		 start1 		 start1 		 start1
916 		 जयपुर 		 k4 		 iobj
917 		 को 		 lwg_psp 		 case
918 		 पिंक 		 pof_cn 		 compound
919 		 सिटी 		 ccof 		 conj
920 		 अथवा 		 k7p 		 nmod
921 		 गुलाबी 		 pof_cn 		 compound
922 		 नगरी 		 ccof 		 conj
923 		 भी 		 lwg_rp 		 dep
924 		 कहते 		 root 		 root
925 		 है 		 lwg_vaux 		 aux
926 		 । 		 rsym 		 punct
927 		 start2 		 start2 		 start2
928 		 start1 		 start1 		 start1
929 		 लाल 		 pof_cn 		 compound
930 		 किले 		 k2 		 case
931 		 को 		 lwg_psp 		 case
932 		 रेड 		 pof_cn 		 compound
933 		 फोर्ट 		 r6 		 nmod
934 		 के 		 lwg_psp 		 case
935 		 नाम 		 k2s 		 acl
936 		 से 		 lwg_psp 		 case
937 		 भी 		 lwg_rp 		 dep
938 		 जाना 		 root 		 root
939 		 जाता 		 lwg_vaux 		 aux
940 		 है 		 lwg_vaux_cont 		 aux
941 		 । 		 rsym 		 punct
942 		 start2 		 start2 		 start2
943 		 start1 		 start1 		 start1
944 		 इसकी 		 r6 		 nmod
945 		 दीवारें 		 k2 		 pof__cn
946 		 , 		 rsym 		 punct
947 		 काफी 		 nmod_adj 		 amod
948 		 सुचिक्कनता 		 adv 		 advmod
949 		 से 		 lwg_psp 		 case
950 		 तराशी 		 root 		 root
951 		 गईं 		 lwg_vaux 		 aux
952 		 हैं 		 lwg_vaux_cont 		 aux
953 		 । 		 rsym 		 punct
954 		 start2 		 start2 		 start2
955 		 start1 		 start1 		 start1
956 		 यह 		 nmod_adj 		 amod
957 		 प्रतिबिम्ब 		 k1 		 nsubj
958 		 इसकी 		 r6 		 nmod
959 		 सुंदरता 		 k2 		 pof__cn
960 		 को 		 lwg_psp 		 case
961 		 चार 		 nmod_adj 		 amod
962 		 चाँद 		 pof 		 compound
963 		 लगाता 		 root 		 root
964 		 है 		 lwg_vaux 		 aux
965 		 । 		 rsym 		 punct
966 		 start2 		 start2 		 start2
967 		 start1 		 start1 		 start1
968 		 मेरे 		 r6 		 nmod
969 		 ब्रदर 		 r6 		 nmod
970 		 की 		 lwg_psp 		 case
971 		 दुल्हन 		 k1 		 nsubj
972 		 एक 		 nmod_adj 		 amod
973 		 भारतीय 		 nmod_adj 		 amod
974 		 बॉलीवुड 		 nmod_adj 		 amod
975 		 फ़िल्म 		 k1s 		 dobj
976 		 है 		 root 		 root
977 		 । 		 rsym 		 punct
978 		 start2 		 start2 		 start2
979 		 start1 		 start1 		 start1
980 		 दिल्ली 		 r6 		 nmod
981 		 का 		 lwg_psp 		 case
982 		 लाल 		 pof_cn 		 compound
983 		 किला 		 k1 		 nsubj
984 		 एक 		 nmod_adj 		 amod
985 		 प्रसिद्ध 		 nmod_adj 		 amod
986 		 ऐतिहासिक 		 mod 		 case
987 		 इमारत 		 k1s 		 dobj
988 		 है 		 root 		 root
989 		 । 		 rsym 		 punct
990 		 start2 		 start2 		 start2
991 		 start1 		 start1 		 start1
992 		 इस 		 nmod_adj 		 amod
993 		 किले 		 k2 		 case
994 		 को 		 lwg_psp 		 case
995 		 पाँचवे 		 nmod_adj 		 amod
996 		 मुग़ल 		 nmod_adj 		 amod
997 		 शासक 		 nmod 		 amod
998 		 शाहजहाँ 		 k1 		 nsubj
999 		 ने 		 lwg_psp 		 case
1000 		 बनवाया 		 root 		 root
1001 		 था 		 lwg_vaux 		 aux
1002 		 । 		 rsym 		 punct
1003 		 start2 		 start2 		 start2
1004 		 start1 		 start1 		 start1
1005 		 लालकिला 		 k1 		 nsubj
1006 		 दिल्ली 		 k7p 		 nmod
1007 		 में 		 lwg_psp 		 case
1008 		 यमुना 		 r6 		 nmod
1009 		 के 		 lwg_psp 		 case
1010 		 पश्चिमी 		 nmod_adj 		 amod
1011 		 तट 		 k7p 		 nmod
1012 		 पर 		 lwg_psp 		 case
1013 		 स्थित 		 pof 		 compound
1014 		 है 		 root 		 root
1015 		 । 		 rsym 		 punct
1016 		 start2 		 start2 		 start2
1017 		 start1 		 start1 		 start1
1018 		 लाल 		 k1 		 nsubj
1019 		 किला 		 lwg_k1 		 case
1020 		 हमारे 		 r6 		 nmod
1021 		 राष्ट्र 		 r6 		 nmod
1022 		 के 		 lwg_psp 		 case
1023 		 गौरव 		 ccof 		 conj
1024 		 और 		 r6 		 nmod
1025 		 स्वाभिमान 		 ccof 		 conj
1026 		 का 		 lwg_psp 		 case
1027 		 प्रतीक 		 k1s 		 dobj
1028 		 है 		 root 		 root
1029 		 । 		 rsym 		 punct
1030 		 start2 		 start2 		 start2
1031 		 start1 		 start1 		 start1
1032 		 मुगल 		 nmod_adj 		 amod
1033 		 सम्राटों 		 k1 		 nsubj
1034 		 ने 		 lwg_psp 		 case
1035 		 दिल्ली 		 ccof 		 conj
1036 		 और 		 k7p 		 nmod
1037 		 आगरा 		 ccof 		 conj
1038 		 में 		 lwg_psp 		 case
1039 		 ऐतिहासिक 		 nmod_adj 		 amod
1040 		 भवनों 		 r6-k2 		 nmod
1041 		 का 		 lwg_psp 		 case
1042 		 निर्माण 		 pof 		 compound
1043 		 किया 		 root 		 root
1044 		 । 		 rsym 		 punct
1045 		 start2 		 start2 		 start2
1046 		 start1 		 start1 		 start1
1047 		 भारत 		 r6 		 nmod
1048 		 के 		 lwg_psp 		 case
1049 		 स्वतंत्रता 		 k7t 		 nmod
1050 		 दिवस 		 lwg_k7t 		 pof__cn
1051 		 पर 		 lwg_psp 		 case
1052 		 प्रधानमंत्री 		 k1 		 nsubj
1053 		 यहाँ 		 k7p 		 nmod
1054 		 राष्ट्रीय 		 nmod_adj 		 amod
1055 		 ध्वज 		 k2 		 case
1056 		 को 		 lwg_psp 		 case
1057 		 फहराते 		 root 		 root
1058 		 हैं 		 lwg_vaux 		 aux
1059 		 । 		 rsym 		 punct
