S.No.		UD		AnnCorra
997 		 compound 		 lwg_psp
998 		 obl 		 lwg_psp
999 		 case 		 lwg_psp
1000 		 dep 		 lwg_psp
1001 		 det 		 mod_wq
1002 		 obj 		 k1
1003 		 root 		 root
1004 		 aux 		 lwg_vaux
1005 		 punct 		 rsym
1006 		 start2 		 start2
1007 		 start1 		 start1
1008 		 compound 		 nmod__adj
1009 		 compound 		 k1
1010 		 compound 		 lwg__psp
1011 		 nmod 		 r6
1012 		 case 		 lwg__psp
1013 		 root 		 root
1014 		 cop 		 lwg_vaux
1015 		 cc 		 k1
1016 		 det 		 mod_wq
1017 		 obl 		 k1
1018 		 case 		 lwg__psp
1019 		 obl 		 r6
1020 		 mark 		 lwg__psp
1021 		 mark 		 nmod__adj
1022 		 dep 		 nmod__adj
1023 		 nsubj 		 k1
1024 		 nmod 		 lwg__psp
1025 		 obl 		 r6
1026 		 case 		 lwg__psp
1027 		 conj 		 ccof
1028 		 aux 		 main
1029 		 aux:pass 		 lwg_vaux
1030 		 punct 		 rsym
1031 		 start2 		 start2
1032 		 start1 		 start1
1033 		 obl 		 nmod__adj
1034 		 dep 		 k1
1035 		 case 		 lwg__psp
1036 		 nsubj 		 k1
1037 		 nmod 		 lwg__psp
1038 		 nummod 		 enm
1039 		 det 		 mod_wq
1040 		 obl 		 k1
1041 		 case 		 lwg__psp
1042 		 case 		 r6
1043 		 case 		 lwg__psp
1044 		 root 		 root
1045 		 obj 		 lwg_vaux
1046 		 nsubj 		 k1
1047 		 advcl 		 lwg__psp
1048 		 dep 		 r6
1049 		 advmod 		 lwg__psp
1050 		 acl:relcl 		 nmod__adj
1051 		 aux 		 nmod__adj
1052 		 aux:pass 		 lwg_vaux
1053 		 punct 		 rsym
1054 		 start2 		 start2
1055 		 start1 		 start1
1056 		 obl 		 nmod__adj
1057 		 dep 		 k1
1058 		 case 		 lwg__psp
1059 		 nummod 		 enm
1060 		 obl 		 nmod_adj
1061 		 case 		 k2u
1062 		 case 		 lwg_psp
1063 		 iobj 		 k4
1064 		 obl 		 lwg__psp
1065 		 root 		 root
1066 		 aux:pass 		 lwg_vaux
1067 		 mark 		 k1
1068 		 det 		 mod_wq
1069 		 det 		 mod_wq
1070 		 amod 		 k1
1071 		 obj 		 lwg__psp
1072 		 nsubj 		 k1
1073 		 nsubj 		 k1
1074 		 advcl 		 nmod__adj
1075 		 dep 		 k1s
1076 		 advmod 		 main
1077 		 obj 		 start2
1078 		 aux 		 start1
1079 		 aux:pass 		 lwg_vaux
1080 		 punct 		 rsym
1081 		 start2 		 start2
1082 		 start1 		 start1
1083 		 nsubj 		 k1
1084 		 root 		 root
1085 		 mark 		 lwg_vaux
1086 		 nsubj 		 k1
1087 		 obl 		 lwg__psp
1088 		 case 		 r6
1089 		 case 		 lwg__psp
1090 		 case 		 nmod__adj
1091 		 obj 		 nmod__adj
1092 		 obj 		 pof__cn
1093 		 aux 		 k1
1094 		 punct 		 rsym
1095 		 start2 		 start2
1096 		 start1 		 start1
1097 		 nmod 		 nmod__adj
1098 		 mark 		 k1
1099 		 nmod 		 lwg__psp
1100 		 case 		 r6
1101 		 nsubj 		 k1
1102 		 nmod 		 lwg__rp
1103 		 cc 		 k1
1104 		 conj 		 ccof
1105 		 case 		 main
1106 		 nmod 		 start2
1107 		 cop 		 start1
1108 		 mark 		 nmod__adj
1109 		 nmod 		 k1
1110 		 amod 		 lwg__psp
1111 		 nsubj 		 k1
1112 		 root 		 root
1113 		 punct 		 rsym
1114 		 start2 		 start2
1115 		 start1 		 start1
1116 		 nsubj 		 k1
1117 		 root 		 root
1118 		 mark 		 lwg_vaux
1119 		 nmod 		 k1
1120 		 case 		 lwg__psp
1121 		 nmod 		 r6
1122 		 case 		 lwg__psp
1123 		 nmod 		 nmod__adj
1124 		 case 		 nmod__adj
1125 		 case 		 pof__cn
1126 		 compound 		 k1
1127 		 obj 		 lwg__psp
1128 		 punct 		 rsym
1129 		 start2 		 start2
1130 		 start1 		 start1
1131 		 nsubj 		 k1
1132 		 case 		 nmod__adj
1133 		 obj 		 k1s
1134 		 dep 		 main
1135 		 root 		 root
1136 		 mark 		 lwg_vaux
1137 		 nsubj 		 k1
1138 		 compound 		 lwg__psp
1139 		 obl 		 r6
1140 		 case 		 lwg__psp
1141 		 case 		 nmod__adj
1142 		 nmod 		 nmod__adj
1143 		 case 		 pof__cn
1144 		 compound 		 k1
1145 		 acl 		 lwg__psp
1146 		 aux 		 r6
1147 		 punct 		 rsym
1148 		 obj 		 pof__cn
1149 		 obl 		 pof__cn
1150 		 mark 		 pof__cn
1151 		 compound 		 pof__cn
1152 		 conj 		 ccof
1153 		 aux 		 k1
1154 		 punct 		 rsym
1155 		 det 		 mod_wq
1156 		 nsubj 		 k1
1157 		 case 		 lwg__psp
1158 		 acl 		 r6
1159 		 aux 		 lwg__psp
1160 		 punct 		 rsym
1161 		 start2 		 start2
1162 		 start1 		 start1
1163 		 det 		 mod_wq
1164 		 obl 		 k1
1165 		 nmod 		 lwg__psp
1166 		 case 		 r6
1167 		 compound 		 lwg__psp
1168 		 root 		 root
1169 		 mark 		 lwg_vaux
1170 		 nsubj 		 k1
1171 		 nummod 		 enm
1172 		 nmod 		 nmod_adj
1173 		 case 		 k2u
1174 		 nmod 		 lwg_psp
1175 		 nmod 		 lwg_psp
1176 		 case 		 lwg_psp
1177 		 case 		 lwg_psp
1178 		 obl 		 lwg_psp
1179 		 cop 		 lwg_psp
1180 		 punct 		 rsym
1181 		 start2 		 start2
1182 		 start1 		 start1
1183 		 nsubj 		 k1
1184 		 compound 		 nmod__adj
1185 		 nmod 		 k1s
1186 		 case 		 main
1187 		 compound 		 start2
1188 		 compound 		 start1
1189 		 compound 		 nmod__adj
1190 		 obl 		 k1
1191 		 case 		 lwg__psp
1192 		 compound 		 r6
1193 		 root 		 root
1194 		 punct 		 rsym
1195 		 start2 		 start2
1196 		 start1 		 start1
1197 		 nmod 		 nmod__adj
1198 		 nmod 		 k1
1199 		 case 		 lwg__psp
1200 		 compound 		 r6
1201 		 root 		 root
1202 		 cc 		 k1
1203 		 compound 		 lwg__psp
1204 		 conj 		 ccof
1205 		 dep 		 main
1206 		 cop 		 start2
1207 		 punct 		 rsym
1208 		 start2 		 start2
1209 		 start1 		 start1
1210 		 nsubj 		 k1
1211 		 case 		 nmod__adj
1212 		 nmod 		 k1s
1213 		 case 		 main
1214 		 obj 		 start2
1215 		 nmod 		 start1
1216 		 compound 		 nmod__adj
1217 		 obl 		 k1
1218 		 case 		 lwg__psp
1219 		 case 		 r6
1220 		 advcl 		 lwg__psp
1221 		 nmod 		 nmod__adj
1222 		 amod 		 nmod__adj
1223 		 obl 		 pof__cn
1224 		 case 		 k1
1225 		 obj 		 lwg__psp
1226 		 advcl 		 rh
1227 		 nmod 		 lwg__psp
1228 		 nmod 		 lwg__psp
1229 		 cc 		 k1
1230 		 nmod 		 lwg__psp
1231 		 case 		 r6
1232 		 nmod 		 lwg__psp
1233 		 case 		 nmod__adj
1234 		 nsubj 		 k1
1235 		 root 		 root
1236 		 case 		 lwg_vaux
1237 		 cop 		 k1
1238 		 punct 		 rsym
1239 		 start2 		 start2
1240 		 start1 		 start1
1241 		 nmod 		 nmod__adj
1242 		 obj 		 k1
1243 		 obl 		 lwg__psp
1244 		 case 		 r6
1245 		 advmod 		 lwg__psp
1246 		 root 		 root
1247 		 aux:pass 		 lwg_vaux
1248 		 punct 		 rsym
1249 		 advmod 		 pof__cn
1250 		 mark 		 pof__cn
1251 		 det 		 mod_wq
1252 		 nsubj 		 k1
1253 		 obj 		 lwg__psp
1254 		 case 		 r6
1255 		 advmod 		 lwg__psp
1256 		 advcl 		 rh
1257 		 aux 		 lwg__psp
1258 		 punct 		 rsym
1259 		 start2 		 start2
1260 		 start1 		 start1
1261 		 nummod 		 enm
1262 		 obj 		 nmod_adj
1263 		 advcl 		 k2u
1264 		 aux 		 lwg_psp
1265 		 punct 		 rsym
1266 		 mark 		 pof__cn
1267 		 advcl 		 rh
1268 		 advmod 		 lwg__psp
1269 		 root 		 root
1270 		 punct 		 rsym
1271 		 start2 		 start2
1272 		 start1 		 start1
1273 		 obl 		 nmod__adj
1274 		 dep 		 k1
1275 		 obl 		 lwg__psp
1276 		 case 		 r6
1277 		 nmod 		 lwg__psp
1278 		 case 		 nmod__adj
1279 		 det 		 mod_wq
1280 		 nsubj 		 k1
1281 		 root 		 root
1282 		 aux 		 lwg_vaux
1283 		 punct 		 rsym
1284 		 cc 		 k1
1285 		 nsubj 		 k1
1286 		 dep 		 nmod__adj
1287 		 nmod 		 k1s
1288 		 obl 		 main
1289 		 case 		 start2
1290 		 obj 		 start1
1291 		 conj 		 ccof
1292 		 punct 		 rsym
1293 		 start2 		 start2
1294 		 start1 		 start1
1295 		 nmod 		 nmod__adj
1296 		 case 		 k1
1297 		 obj 		 lwg__psp
1298 		 obl 		 r6
1299 		 nsubj 		 k1
1300 		 dep 		 lwg__rp
1301 		 root 		 root
1302 		 punct 		 rsym
1303 		 start2 		 start2
1304 		 start1 		 start1
1305 		 nmod 		 nmod__adj
1306 		 nmod 		 k1
1307 		 case 		 lwg__psp
1308 		 compound 		 r6
1309 		 amod 		 lwg__psp
1310 		 mark 		 nmod__adj
1311 		 punct 		 rsym
1312 		 amod 		 r6-k2
1313 		 mark 		 lwg__psp
1314 		 nmod 		 pof
1315 		 case 		 main
1316 		 amod 		 lwg__vaux
1317 		 root 		 root
1318 		 cop 		 lwg_vaux
1319 		 punct 		 rsym
1320 		 start2 		 start2
1321 		 start1 		 start1
1322 		 nsubj 		 k1
1323 		 det 		 mod_wq
1324 		 root 		 root
1325 		 cop 		 lwg_vaux
1326 		 punct 		 rsym
1327 		 start2 		 start2
1328 		 start1 		 start1
1329 		 nsubj 		 k1
1330 		 nsubj 		 k1
1331 		 nmod 		 nmod__adj
1332 		 case 		 k1s
1333 		 compound 		 main
1334 		 advmod 		 start2
1335 		 root 		 root
1336 		 punct 		 rsym
1337 		 start2 		 start2
1338 		 start1 		 start1
1339 		 nsubj 		 k1
1340 		 advcl 		 nmod__adj
1341 		 punct 		 rsym
1342 		 mark 		 r6-k2
1343 		 obl 		 lwg__psp
1344 		 root 		 root
1345 		 dep 		 lwg_vaux
1346 		 aux 		 k1
1347 		 aux:pass 		 lwg_vaux
1348 		 punct 		 rsym
1349 		 start2 		 start2
1350 		 start1 		 start1
1351 		 nsubj 		 k1
1352 		 cc 		 k1
1353 		 conj 		 ccof
1354 		 nummod 		 enm
1355 		 amod 		 nmod_adj
1356 		 root 		 root
1357 		 cop 		 lwg_vaux
1358 		 punct 		 rsym
1359 		 start2 		 start2
1360 		 start1 		 start1
1361 		 nmod 		 nmod__adj
1362 		 case 		 k1
1363 		 nsubj 		 k1
1364 		 nsubj 		 k1
1365 		 cc 		 k1
1366 		 conj 		 ccof
1367 		 nummod 		 enm
1368 		 amod 		 nmod_adj
1369 		 obl 		 k2u
1370 		 case 		 lwg_psp
1371 		 root 		 root
1372 		 punct 		 rsym
1373 		 start2 		 start2
1374 		 start1 		 start1
1375 		 nummod 		 enm
1376 		 nsubj 		 nmod_adj
1377 		 obl 		 k2u
1378 		 case 		 lwg_psp
1379 		 case 		 lwg_psp
1380 		 obl 		 lwg_psp
1381 		 case 		 lwg_psp
1382 		 dep 		 lwg_psp
1383 		 obl 		 lwg_psp
1384 		 cc 		 k1
1385 		 conj 		 ccof
1386 		 case 		 main
1387 		 root 		 root
1388 		 aux 		 lwg_vaux
1389 		 punct 		 rsym
1390 		 start2 		 start2
1391 		 start1 		 start1
1392 		 iobj 		 k4
1393 		 case 		 lwg__psp
1394 		 nsubj 		 k1
1395 		 root 		 root
1396 		 punct 		 rsym
1397 		 start2 		 start2
1398 		 start1 		 start1
1399 		 advmod 		 nmod__adj
1400 		 compound 		 k1
1401 		 obl 		 lwg__psp
1402 		 case 		 r6
1403 		 compound 		 lwg__psp
1404 		 root 		 root
1405 		 punct 		 rsym
1406 		 start2 		 start2
1407 		 start1 		 start1
1408 		 amod 		 nmod__adj
1409 		 obj 		 k1
1410 		 advcl 		 lwg__psp
1411 		 compound 		 r6
1412 		 root 		 root
1413 		 cc 		 k1
1414 		 amod 		 lwg__psp
1415 		 obl 		 r6
1416 		 case 		 lwg__psp
1417 		 conj 		 ccof
1418 		 aux 		 main
1419 		 aux:pass 		 lwg_vaux
1420 		 punct 		 rsym
1421 		 start2 		 start2
1422 		 start1 		 start1
1423 		 obl 		 nmod__adj
1424 		 obl 		 k1
1425 		 case 		 lwg__psp
1426 		 nsubj 		 k1
1427 		 root 		 root
1428 		 cc 		 k1
1429 		 nsubj 		 k1
1430 		 case 		 nmod__adj
1431 		 amod 		 k1s
1432 		 obl 		 main
1433 		 case 		 start2
1434 		 case 		 start1
1435 		 advmod 		 nmod__adj
1436 		 compound 		 k1
1437 		 obl 		 lwg__psp
1438 		 case 		 r6
1439 		 case 		 lwg__psp
1440 		 compound 		 nmod__adj
1441 		 conj 		 ccof
1442 		 aux 		 k2
1443 		 start2 		 start2
1444 		 start1 		 start1
1445 		 obl 		 nmod__adj
1446 		 case 		 k1
1447 		 obj 		 lwg__psp
1448 		 advcl 		 rh
1449 		 det 		 mod_wq
1450 		 dep 		 k1
1451 		 amod 		 lwg__psp
1452 		 punct 		 rsym
1453 		 nsubj 		 k1
1454 		 acl:relcl 		 nmod__adj
1455 		 aux 		 k1s
1456 		 punct 		 rsym
1457 		 obj 		 ccof
1458 		 nsubj 		 k1
1459 		 case 		 r6
1460 		 advcl 		 lwg__psp
1461 		 advmod 		 rd
1462 		 root 		 root
1463 		 punct 		 rsym
1464 		 start2 		 start2
1465 		 start1 		 start1
1466 		 obl 		 nmod__adj
1467 		 nmod 		 k1
1468 		 obj 		 lwg__psp
1469 		 case 		 r6
1470 		 advcl 		 lwg__psp
1471 		 nummod 		 enm
1472 		 obl 		 nmod_adj
1473 		 case 		 k2u
1474 		 case 		 lwg_psp
1475 		 nmod 		 lwg_psp
1476 		 nsubj 		 lwg_psp
1477 		 compound 		 lwg_psp
1478 		 root 		 root
1479 		 aux 		 lwg_vaux
1480 		 punct 		 rsym
1481 		 start2 		 start2
1482 		 start1 		 start1
1483 		 obl 		 nmod__adj
1484 		 nsubj 		 k1
1485 		 punct 		 rsym
1486 		 root 		 root
1487 		 aux 		 lwg_vaux
1488 		 punct 		 rsym
1489 		 nmod 		 pof__cn
1490 		 case 		 pof__cn
1491 		 nsubj 		 k1
1492 		 advcl 		 lwg__psp
1493 		 nmod 		 r6
1494 		 case 		 lwg__psp
1495 		 nsubj 		 k1
1496 		 obl 		 lwg__psp
1497 		 cop 		 r6
1498 		 punct 		 rsym
1499 		 advmod 		 pof__cn
1500 		 nsubj 		 k1
1501 		 det 		 mod_wq
1502 		 amod 		 k1
1503 		 compound 		 lwg__psp
1504 		 advmod 		 rd
1505 		 acl:relcl 		 lwg__psp
1506 		 aux 		 lwg__psp
1507 		 punct 		 rsym
1508 		 obl 		 k1
1509 		 nsubj 		 k1
1510 		 nmod 		 nmod__adj
1511 		 case 		 k1s
1512 		 obj 		 main
1513 		 obl 		 start2
1514 		 case 		 start1
1515 		 case 		 nmod__adj
1516 		 obj 		 k1
1517 		 aux 		 lwg__psp
1518 		 aux:pass 		 lwg_vaux
1519 		 punct 		 rsym
1520 		 start2 		 start2
1521 		 start1 		 start1
1522 		 nmod 		 nmod__adj
1523 		 case 		 k1
1524 		 obj 		 lwg__psp
1525 		 case 		 r6
1526 		 nmod 		 lwg__psp
1527 		 case 		 nmod__adj
1528 		 obl 		 nmod__adj
1529 		 case 		 pof__cn
1530 		 obj 		 k1
1531 		 aux 		 lwg__psp
1532 		 root 		 root
1533 		 aux 		 lwg_vaux
1534 		 punct 		 rsym
1535 		 start2 		 start2
1536 		 start1 		 start1
1537 		 nsubj 		 k1
1538 		 case 		 nmod__adj
1539 		 amod 		 k1s
1540 		 obl 		 main
1541 		 case 		 start2
1542 		 advcl 		 start1
1543 		 nsubj 		 k1
1544 		 advmod 		 nmod__adj
1545 		 root 		 root
1546 		 aux 		 lwg_vaux
1547 		 aux:pass 		 lwg_vaux
1548 		 start2 		 start2
1549 		 start1 		 start1
1550 		 obj 		 nmod__adj
1551 		 dep 		 k1
1552 		 advcl 		 lwg__psp
1553 		 mark 		 r6
1554 		 mark 		 lwg__psp
1555 		 det 		 mod_wq
1556 		 nsubj 		 k1
1557 		 advmod 		 lwg__psp
1558 		 root 		 root
1559 		 punct 		 rsym
1560 		 start2 		 start2
1561 		 start1 		 start1
1562 		 nsubj 		 k1
1563 		 case 		 nmod__adj
1564 		 root 		 root
1565 		 obl 		 lwg_vaux
1566 		 punct 		 rsym
1567 		 obl 		 pof__cn
1568 		 case 		 pof__cn
1569 		 dep 		 pof__cn
1570 		 nmod 		 pof__cn
1571 		 case 		 pof__cn
1572 		 nsubj 		 k1
1573 		 advmod 		 lwg__psp
1574 		 punct 		 rsym
1575 		 nmod 		 k1
1576 		 mark 		 nmod__adj
1577 		 obl 		 k1s
1578 		 case 		 main
1579 		 case 		 start2
1580 		 det 		 mod_wq
1581 		 det 		 mod_wq
1582 		 nsubj 		 k1
1583 		 obj 		 lwg__psp
1584 		 punct 		 rsym
1585 		 start2 		 start2
1586 		 start1 		 start1
1587 		 punct 		 rsym
1588 		 nsubj 		 k1
1589 		 root 		 root
1590 		 aux 		 lwg_vaux
1591 		 punct 		 rsym
1592 		 nsubj 		 k1
1593 		 compound 		 nmod__adj
1594 		 dep 		 k1s
1595 		 advcl 		 main
1596 		 aux 		 start2
1597 		 punct 		 rsym
1598 		 mark 		 pof__cn
1599 		 nmod 		 pof__cn
1600 		 obl 		 pof__cn
1601 		 case 		 pof__cn
1602 		 case 		 pof__cn
1603 		 nsubj 		 k1
1604 		 case 		 lwg__psp
1605 		 obl 		 r6
1606 		 case 		 lwg__psp
1607 		 advcl 		 rh
1608 		 dep 		 lwg__psp
1609 		 aux 		 lwg__psp
1610 		 punct 		 rsym
1611 		 start2 		 start2
1612 		 start1 		 start1
1613 		 nsubj 		 k1
1614 		 case 		 nmod__adj
1615 		 amod 		 k1s
1616 		 compound 		 main
1617 		 root 		 root
1618 		 punct 		 rsym
1619 		 cc 		 k1
1620 		 nsubj 		 k1
1621 		 case 		 nmod__adj
1622 		 obj 		 k1s
1623 		 advmod 		 main
1624 		 conj 		 ccof
1625 		 start2 		 start2
1626 		 start1 		 start1
1627 		 compound 		 nmod__adj
1628 		 compound 		 k1
1629 		 compound 		 lwg__psp
1630 		 nsubj 		 k1
1631 		 case 		 lwg__psp
1632 		 obl 		 r6
1633 		 dep 		 lwg__psp
1634 		 case 		 nmod__adj
1635 		 nmod 		 nmod__adj
1636 		 compound 		 pof__cn
1637 		 compound 		 k1
1638 		 obj 		 lwg__psp
1639 		 obl 		 r6
1640 		 case 		 lwg__psp
1641 		 compound 		 nmod__adj
1642 		 root 		 root
1643 		 aux 		 lwg_vaux
1644 		 cc 		 k1
1645 		 nmod 		 lwg__psp
1646 		 nummod 		 enm
1647 		 obj 		 nmod_adj
1648 		 compound 		 k2u
1649 		 conj 		 ccof
1650 		 aux:pass 		 lwg_vaux
1651 		 aux:pass 		 lwg_vaux
1652 		 punct 		 rsym
1653 		 start2 		 start2
1654 		 start1 		 start1
1655 		 obl 		 nmod__adj
1656 		 compound 		 k1
1657 		 compound 		 lwg__psp
1658 		 nummod 		 enm
1659 		 compound 		 nmod_adj
1660 		 nmod 		 k2u
1661 		 case 		 lwg_psp
1662 		 obj 		 lwg_psp
1663 		 obl 		 lwg_psp
1664 		 case 		 lwg_psp
1665 		 case 		 lwg_psp
1666 		 nummod 		 enm
1667 		 nmod 		 nmod_adj
1668 		 cc 		 k1
1669 		 compound 		 lwg__psp
1670 		 conj 		 ccof
1671 		 nummod 		 enm
1672 		 nmod 		 nmod_adj
1673 		 nummod 		 enm
1674 		 conj 		 ccof
1675 		 case 		 lwg__vaux
1676 		 obj 		 start2
1677 		 nummod 		 enm
1678 		 acl 		 nmod_adj
1679 		 root 		 root
1680 		 aux:pass 		 lwg_vaux
1681 		 aux:pass 		 lwg_vaux
1682 		 punct 		 rsym
1683 		 start2 		 start2
1684 		 start1 		 start1
1685 		 amod 		 nmod__adj
1686 		 dep 		 k1
1687 		 root 		 root
1688 		 cop 		 lwg_vaux
1689 		 mark 		 k1
1690 		 obj 		 lwg__psp
1691 		 dep 		 r6
1692 		 compound 		 lwg__psp
1693 		 compound 		 nmod__adj
1694 		 obj 		 nmod__adj
1695 		 advmod 		 pof__cn
1696 		 acl 		 k1
1697 		 aux:pass 		 lwg_vaux
1698 		 aux:pass 		 lwg_vaux
1699 		 cc 		 k1
1700 		 compound 		 lwg__psp
1701 		 compound 		 r6
1702 		 obj 		 lwg__psp
1703 		 case 		 nmod__adj
1704 		 obl 		 nmod__adj
1705 		 case 		 pof__cn
1706 		 advcl 		 rh
1707 		 aux 		 lwg__psp
1708 		 compound 		 lwg__psp
1709 		 conj 		 ccof
1710 		 aux:pass 		 lwg_vaux
1711 		 aux:pass 		 lwg_vaux
1712 		 punct 		 rsym
1713 		 start2 		 start2
1714 		 start1 		 start1
1715 		 compound 		 nmod__adj
1716 		 compound 		 k1
1717 		 obl 		 lwg__psp
1718 		 case 		 r6
1719 		 nsubj 		 k1
1720 		 det 		 mod_wq
1721 		 nmod 		 k1
1722 		 case 		 lwg__psp
1723 		 obl 		 r6
1724 		 case 		 lwg__psp
1725 		 punct 		 rsym
1726 		 compound 		 k1
1727 		 nmod 		 nmod__adj
1728 		 punct 		 rsym
1729 		 obj 		 r6-k2
1730 		 root 		 root
1731 		 aux 		 lwg_vaux
1732 		 aux:pass 		 lwg_vaux
1733 		 punct 		 rsym
1734 		 start2 		 start2
1735 		 start1 		 start1
1736 		 obl 		 nmod__adj
1737 		 case 		 k1
1738 		 nmod 		 lwg__psp
1739 		 case 		 r6
1740 		 nmod 		 lwg__psp
1741 		 obj 		 nmod__adj
1742 		 compound 		 nmod__adj
1743 		 compound 		 pof__cn
1744 		 compound 		 k1
1745 		 compound 		 lwg__psp
1746 		 iobj 		 k4
1747 		 case 		 lwg__psp
1748 		 root 		 root
1749 		 aux 		 lwg_vaux
1750 		 aux:pass 		 lwg_vaux
1751 		 punct 		 rsym
1752 		 obl 		 pof__cn
1753 		 compound 		 pof__cn
1754 		 obl 		 pof__cn
1755 		 case 		 pof__cn
1756 		 dep 		 pof__cn
1757 		 nummod 		 enm
1758 		 nmod 		 nmod_adj
1759 		 case 		 k2u
1760 		 nsubj 		 lwg_psp
1761 		 acl:relcl 		 lwg_psp
1762 		 aux 		 lwg_psp
1763 		 aux:pass 		 lwg_vaux
1764 		 punct 		 rsym
1765 		 start2 		 start2
1766 		 start1 		 start1
1767 		 det 		 mod_wq
1768 		 obj 		 k1
1769 		 det 		 mod_wq
1770 		 nummod 		 enm
1771 		 compound 		 nmod_adj
1772 		 obl 		 k2u
1773 		 case 		 lwg_psp
1774 		 root 		 root
1775 		 aux:pass 		 lwg_vaux
1776 		 aux:pass 		 lwg_vaux
1777 		 aux:pass 		 lwg_vaux
1778 		 punct 		 rsym
1779 		 start2 		 start2
1780 		 start1 		 start1
1781 		 nummod 		 enm
1782 		 nsubj 		 nmod_adj
1783 		 det 		 mod_wq
1784 		 obl 		 k1
1785 		 case 		 lwg__psp
1786 		 compound 		 r6
1787 		 advcl 		 lwg__psp
1788 		 compound 		 nmod__adj
1789 		 advcl 		 rh
1790 		 aux 		 lwg__psp
1791 		 obl 		 lwg__psp
1792 		 case 		 pof
1793 		 case 		 main
1794 		 compound 		 lwg__vaux
1795 		 compound 		 start2
1796 		 obl 		 start1
1797 		 case 		 nmod__adj
1798 		 root 		 root
1799 		 aux 		 lwg_vaux
1800 		 aux:pass 		 lwg_vaux
1801 		 mark 		 k1
1802 		 obl 		 lwg__psp
1803 		 punct 		 rsym
1804 		 nsubj 		 k1
1805 		 case 		 nmod__adj
1806 		 obl 		 k1s
1807 		 case 		 main
1808 		 iobj 		 k4
1809 		 case 		 lwg__psp
1810 		 obj 		 nmod__adj
1811 		 dep 		 nmod__adj
1812 		 advcl 		 rh
1813 		 aux 		 lwg__psp
1814 		 punct 		 rsym
1815 		 start2 		 start2
1816 		 start1 		 start1
1817 		 amod 		 nmod__adj
1818 		 dep 		 k1
1819 		 root 		 root
1820 		 cop 		 lwg_vaux
1821 		 punct 		 rsym
1822 		 nummod 		 enm
1823 		 nmod 		 nmod_adj
1824 		 case 		 k2u
1825 		 nsubj 		 lwg_psp
1826 		 nmod 		 lwg_psp
1827 		 case 		 lwg_psp
1828 		 nmod 		 lwg_psp
1829 		 case 		 lwg_psp
1830 		 case 		 lwg_psp
1831 		 cop 		 lwg_psp
1832 		 cc 		 k1
1833 		 obl 		 lwg__psp
1834 		 case 		 r6
1835 		 advmod 		 lwg__psp
1836 		 advcl 		 rh
1837 		 mark 		 lwg__psp
1838 		 mark 		 lwg__psp
1839 		 det 		 mod_wq
1840 		 nsubj 		 k1
1841 		 dep 		 lwg__psp
1842 		 compound 		 r6
1843 		 compound 		 lwg__psp
1844 		 nmod 		 nmod__adj
1845 		 case 		 nmod__adj
1846 		 obl 		 pof__cn
1847 		 case 		 k1
1848 		 advmod 		 lwg__psp
1849 		 conj 		 ccof
1850 		 punct 		 rsym
1851 		 start2 		 start2
1852 		 start1 		 start1
1853 		 obl 		 nmod__adj
1854 		 case 		 k1
1855 		 obl 		 lwg__psp
1856 		 nsubj 		 k1
1857 		 case 		 lwg__psp
1858 		 obl 		 r6
1859 		 advcl 		 lwg__psp
1860 		 iobj 		 k4
1861 		 case 		 lwg__psp
1862 		 acl:relcl 		 nmod__adj
1863 		 punct 		 rsym
1864 		 mark 		 r6-k2
1865 		 iobj 		 k4
1866 		 nummod 		 enm
1867 		 obl 		 nmod_adj
1868 		 case 		 k2u
1869 		 nummod 		 enm
1870 		 nmod 		 nmod_adj
1871 		 case 		 k2u
1872 		 nsubj 		 lwg_psp
1873 		 acl:relcl 		 lwg_psp
1874 		 aux 		 lwg_psp
1875 		 aux:pass 		 lwg_vaux
1876 		 punct 		 rsym
1877 		 obl 		 pof__cn
1878 		 nsubj 		 k1
1879 		 root 		 root
1880 		 aux 		 lwg_vaux
1881 		 start2 		 start2
1882 		 start1 		 start1
1883 		 obl 		 nmod__adj
1884 		 case 		 k1
1885 		 nmod 		 lwg__psp
1886 		 nsubj 		 k1
1887 		 det 		 mod_wq
1888 		 dep 		 k1
1889 		 compound 		 lwg__psp
1890 		 root 		 root
1891 		 aux 		 lwg_vaux
1892 		 punct 		 rsym
1893 		 start2 		 start2
1894 		 start1 		 start1
1895 		 nmod 		 nmod__adj
1896 		 nummod 		 enm
1897 		 nmod 		 nmod_adj
1898 		 case 		 k2u
1899 		 amod 		 lwg_psp
1900 		 root 		 root
1901 		 cop 		 lwg_vaux
1902 		 punct 		 rsym
1903 		 start2 		 start2
1904 		 start1 		 start1
1905 		 dep 		 nmod__adj
1906 		 dep 		 k1
1907 		 nsubj 		 k1
1908 		 advmod 		 nmod__adj
1909 		 root 		 root
1910 		 start2 		 start2
1911 		 start1 		 start1
1912 		 nmod 		 nmod__adj
1913 		 case 		 k1
1914 		 det 		 mod_wq
1915 		 det 		 mod_wq
1916 		 acl:relcl 		 k1
1917 		 cop 		 lwg__psp
1918 		 punct 		 rsym
1919 		 nsubj 		 k1
1920 		 root 		 root
1921 		 aux 		 lwg_vaux
1922 		 aux:pass 		 lwg_vaux
1923 		 punct 		 rsym
1924 		 start2 		 start2
1925 		 start1 		 start1
1926 		 nmod 		 nmod__adj
1927 		 case 		 k1
1928 		 nsubj 		 k1
1929 		 obl 		 nmod__adj
1930 		 case 		 k1s
1931 		 root 		 root
